Number;Name;Released_date;Retired_date;Retail;Value
41002-1;Emma's Karate Class;11.12.2012;29.11.2013;9.99;13.56
41003-1;Olivia's Newborn Foal;11.12.2012;03.10.2014;9.99;19.79
41004-1;Rehearsal Stage;11.12.2012;01.01.2015;19.99;26.42
41005-1;Heartlake High;01.08.2013;27.11.2014;49.99;104.39
41006-1;Downtown Bakery;01.08.2013;29.10.2014;24.99;47.43
41007-1;Heartlake Pet Salon;02.12.2012;14.01.2015;29.99;41.29
41008-1;Heartlake City Pool;02.12.2012;02.12.2014;39.99;51.30
41009-1;Andrea's Bedroom;01.08.2013;15.06.2014;9.99;15.04
41010-1;Olivia's Beach Buggy;01.08.2013;21.06.2014;9.99;13.44
41011-1;Stephanie's Soccer Practice;11.12.2012;02.12.2013;9.99;16.57
41013-1;Emma's Sports Car;01.08.2013;28.11.2014;14.99;19.32
41015-1;Dolphin Cruiser;01.08.2013;11.01.2016;69.99;131.23
41017-1;Squirrel's Tree House;17.12.2012;05.11.2013;3.99;6.66
41018-1;Cat's Playground;17.12.2012;05.11.2013;3.99;7.57
41019-1;Turtle's Little Oasis;17.12.2012;02.05.2013;3.99;6.91
41023-1;Fawn's Forest;02.10.2013;22.11.2013;3.99;5.97
41024-1;Parrot's Perch;02.10.2013;26.11.2013;3.99;5.54
41025-1;Puppy's Playhouse;02.10.2013;23.11.2013;3.99;5.54
60023-1;LEGO City Starter Set;01.08.2013;25.01.2015;24.99;57.20
60025-1;Grand Prix Truck;01.08.2013;21.01.2015;29.99;92.76
60027-1;Monster Truck Transporter;01.08.2013;24.12.2014;29.99;75.42
70500-1;Kai's Fire Mech;28.12.2012;21.01.2015;9.99;63.50
70501-1;Warrior Bike;28.12.2012;13.12.2013;19.99;79.81
70502-1;Cole's Earth Driller;28.12.2012;06.12.2014;19.99;56.17
70503-1;The Golden Dragon;28.12.2012;21.01.2015;29.99;106.22
70504-1;Garmatron;28.12.2012;03.10.2014;39.99;105.12
70505-1;Temple of Light;28.12.2012;27.02.2015;64.99;154.00
75000-1;Clone Troopers vs. Droidekas;28.12.2012;02.12.2014;16.99;52.79
75001-1;Republic Troopers vs. Sith Troopers;28.12.2012;09.01.2015;16.99;47.92
75002-1;AT-RT;28.12.2012;05.12.2014;26.99;64.71
75003-1;A-Wing Starfighter;28.12.2012;29.11.2014;29.99;65.99
75004-1;Z-95 Headhunter;28.12.2012;05.12.2014;49.99;210.88
75005-1;Rancor Pit;28.12.2012;15.12.2014;69.99;285.30
75012-1;BARC Speeder with Sidecar;28.12.2012;30.12.2014;29.99;348.47
75013-1;Umbaran MHC Mobile Heavy Cannon;28.12.2012;10.01.2015;59.99;164.32
75014-1;Battle of Hoth;28.12.2012;15.12.2013;49.99;154.56
75024-1;HH-87 Starhopper;01.08.2013;16.01.2015;49.99;118.79
75025-1;Jedi Defender-class Cruiser;01.08.2013;15.12.2014;99.99;393.18
850581-1;Friends Brick Calendar;01.03.2013;29.11.2014;6.49;21.73
850632-1;Samurai Accessory Set;01.03.2013;04.05.2013;13.19;36.26
COMCON032-1;Comic-Con Jek-14 Mini Stealth Starfighter;20.07.2013;21.07.2013;39.99;916.31
WISHINGWELL-1;Wishing Well;23.05.2013;23.05.2015;0.00;56.53
YODACHRON-1;Yoda Chronicles Holocron Chamber;01.05.2013;23.05.2013;0.00;3121.07
3061-1;City Park Cafe;02.01.2012;02.12.2013;29.99;43.96
3063-1;Heartlake Flying Club;23.07.2012;16.12.2013;19.99;23.72
3065-1;Olivia's Tree House;02.01.2012;05.11.2013;19.99;33.80
3183-1;Stephanie's Cool Convertible;02.01.2012;05.11.2013;14.99;21.30
3184-1;Adventure Camper;23.07.2012;05.11.2013;29.99;51.61
3185-1;Summer Riding Camp;28.08.2012;02.10.2014;99.99;239.65
3186-1;Emma's Horse Trailer;28.08.2012;13.06.2014;24.99;66.01
3187-1;Butterfly Beauty Shop;02.01.2012;03.12.2012;24.99;44.00
3188-1;Heartlake Vet;02.01.2012;05.11.2013;39.99;104.91
3189-1;Heartlake Stables;24.07.2012;05.11.2013;54.99;119.88
3315-1;Olivia's House;02.01.2012;28.11.2014;69.99;140.80
3930-1;Stephanie's Outdoor Bakery;02.01.2012;11.11.2013;5.99;8.88
3931-1;Emma's Splash Pool;02.01.2012;07.12.2012;5.99;10.38
3932-1;Andrea's Stage;02.01.2012;23.11.2012;9.99;16.15
3933-1;Olivia's Invention Workshop;02.01.2012;04.12.2012;9.99;17.60
3934-1;Mia's Puppy House;02.01.2012;02.12.2012;9.99;17.99
3935-1;Stephanie's Pet Patrol;02.01.2012;02.12.2012;9.99;17.24
3936-1;Emma's Fashion Design Studio;02.01.2012;04.12.2012;9.99;15.50
3937-1;Olivia's Speedboat;23.07.2012;07.12.2013;9.99;15.84
3938-1;Andrea's Bunny House;23.07.2012;07.02.2013;9.99;16.66
3939-1;Mia's Bedroom;23.07.2012;05.11.2013;9.99;17.59
3942-1;Heartlake Dog Show;02.01.2012;23.11.2012;19.99;43.86
9440-1;Venomari Shrine;29.11.2011;09.11.2012;7.99;35.19
9441-1;Kai's Blade Cycle;29.11.2011;21.11.2012;14.99;135.48
9442-1;Jay's Storm Fighter;29.11.2011;10.11.2012;19.99;69.70
9443-1;Rattlecopter;29.11.2011;26.10.2012;29.99;152.31
9444-1;Cole's Tread Assault;29.11.2011;30.09.2012;34.99;132.28
9445-1;Fangpyre Truck Ambush;24.12.2011;30.10.2012;49.99;357.74
9446-1;Destiny's Bounty;27.12.2011;28.11.2012;79.99;220.34
9447-1;Lasha's Bite Cycle;02.06.2012;23.12.2013;19.99;76.42
9448-1;Samurai Mech;02.06.2012;29.11.2013;39.99;127.29
9449-1;Ultra Sonic Raider;02.06.2012;05.01.2015;79.99;242.00
9450-1;Epic Dragon Battle;02.06.2012;28.02.2015;119.99;264.00
9455-1;Fangpyre Mech;29.12.2011;27.09.2012;24.99;84.34
9456-1;Spinner Battle Arena;24.12.2011;27.11.2012;39.99;87.99
9457-1;Fangpyre Wrecking Ball;28.12.2011;19.10.2012;49.99;207.58
9488-1;Elite Clone Trooper & Commando Droid Battle Pack;02.02.2012;21.12.2013;16.99;110.94
9489-1;Endor Rebel Trooper & Imperial Trooper Battle Pack;02.02.2012;05.11.2013;16.99;35.29
9490-1;Droid Escape;02.02.2012;12.12.2013;26.99;44.00
9491-1;Geonosian Cannon;02.02.2012;04.05.2014;26.99;67.03
9492-1;TIE Fighter;02.02.2012;17.02.2014;49.99;89.36
9493-1;X-wing Starfighter;21.02.2012;02.01.2015;69.99;110.54
9494-1;Anakin's Jedi Interceptor;02.02.2012;09.12.2013;39.99;152.42
9495-1;Gold Leader's Y-wing Starfighter;02.02.2012;29.11.2013;49.99;105.59
9496-1;Desert Skiff;23.07.2012;03.05.2014;29.99;65.30
9497-1;Republic Striker-class Starfighter;23.07.2012;21.11.2013;49.99;167.29
9498-1;Saesee Tiin's Jedi Starfighter;23.07.2012;04.03.2014;39.99;133.80
9499-1;Gungan Sub;23.07.2012;05.12.2013;69.99;370.20
9500-1;Sith Fury-class Interceptor;23.07.2012;30.03.2014;99.99;391.78
9515-1;Malevolence;23.07.2012;03.05.2014;119.99;355.14
9516-1;Jabba's Palace;23.07.2012;04.03.2014;139.99;329.73
9525-1;Pre Vizsla's Mandalorian Fighter;23.07.2012;03.05.2014;49.99;321.95
9526-1;Palpatine's Arrest;23.07.2012;04.03.2014;89.99;484.00
9551-1;Kendo Cole;24.12.2011;15.03.2012;4.99;11.77
9552-1;Lloyd Garmadon;24.12.2011;06.04.2012;4.99;26.48
9553-1;Jay ZX;24.12.2011;23.10.2012;4.99;16.19
9554-1;Zane ZX;02.06.2012;09.08.2012;4.99;24.82
9555-1;Mezmo;02.06.2012;23.07.2012;4.99;42.37
9556-1;Bytar;28.08.2012;15.12.2012;4.99;13.40
9558-1;Training Set;10.01.2012;09.11.2012;19.99;56.31
9572-1;NRG Cole;02.06.2012;19.11.2012;9.99;46.77
9579-1;Starter Set;24.12.2011;09.03.2012;19.99;65.37
9674-1;Naboo Starfighter & Naboo;02.02.2012;05.11.2012;9.99;15.30
9675-1;Sebulba's Podracer & Tatooine;02.02.2012;05.11.2012;9.99;28.21
9676-1;TIE Interceptor & Death Star;02.02.2012;23.11.2012;9.99;32.67
9677-1;X-Wing Starfighter & Yavin 4;23.07.2012;04.05.2013;9.99;24.82
9678-1;Twin-Pod Cloud Car & Bespin;23.07.2012;05.11.2013;9.99;13.20
9679-1;AT-ST & Endor;23.07.2012;25.12.2013;9.99;21.92
10224-1;Town Hall;03.03.2012;04.10.2014;179.99;704.76
21012-1;Sydney Opera House;03.03.2012;13.12.2014;24.99;131.99
21013-1;Big Ben;02.06.2012;26.11.2016;29.99;94.03
21014-1;Villa Savoye;04.09.2012;26.12.2015;69.99;217.69
21016-1;Sungnyemun;01.06.2012;19.02.2013;34.99;333.70
21101-1;Hayabusa;11.07.2012;05.11.2013;49.99;206.72
21102-1;Minecraft Micro World: The Forest;19.06.2012;15.01.2015;34.99;49.11
30056-1;Star Destroyer;01.03.2012;23.05.2012;3.51;8.33
30057-1;Anakin's Pod Racer;01.01.2012;01.02.2012;4.39;10.37
30059-1;MTT;01.11.2012;31.12.2012;4.39;8.79
30085-1;Jumping Snakes;01.03.2012;01.03.2014;0.00;5.23
30086-1;Hidden Sword;01.02.2012;01.10.2012;0.00;7.88
30087-1;Car;01.04.2012;01.04.2014;0.00;6.29
30100-1;Beach;15.09.2012;15.09.2014;0.00;7.07
30101-1;Skateboarder;01.12.2012;11.12.2012;4.39;5.73
30102-1;Desk;01.04.2012;01.04.2014;3.49;5.07
30103-1;Car;01.03.2012;01.03.2014;3.49;7.59
30105-1;Mailbox;01.03.2012;01.03.2014;3.51;4.39
30181-1;Helicopter;01.12.2012;01.12.2014;3.51;7.04
40025-1;New York Taxi;01.12.2012;01.12.2014;4.39;19.42
850445-1;Ninjago Character Card Shrine;02.06.2012;03.01.2013;12.99;36.55
853393-1;LEGO Friends Picture Frame;03.03.2012;29.11.2013;12.99;14.91
5000030-1;Kendo Jay Booster Pack;27.12.2012;31.12.2012;0.00;10.56
CELEBVI-1;Mini Slave I;01.08.2012;01.08.2014;0.00;959.02
COMCON019-1;San Diego Comic-Con 2012 Darth Maul’s Mini Sith Infiltrator;15.07.2012;16.07.2012;39.99;919.05
COMCON024-1;NY Comic-Con 2012 Luke Skywalker's Landspeeder;15.07.2012;16.07.2012;39.99;912.73
2507-1;Fire Temple;05.08.2011;21.11.2012;119.99;345.59
2516-1;Ninja Training Outpost;04.01.2011;06.12.2011;4.99;50.16
3365-1;Space Moon Buggy;13.05.2011;07.11.2013;4.99;10.07
3366-1;Satellite Launch Pad;13.05.2011;26.12.2013;16.99;26.39
3367-1;Space Shuttle;05.03.2011;20.11.2013;29.99;48.16
3368-1;Space Centre;13.05.2011;24.11.2013;59.99;123.19
4865-1;The Forbidden Forest;19.05.2011;17.11.2012;14.99;35.19
4866-1;The Knight Bus;19.05.2011;17.11.2012;39.99;78.75
4867-1;Hogwarts;19.05.2011;07.09.2012;59.99;100.96
7868-1;Mace Windu's Jedi Starfighter;19.07.2011;26.12.2011;39.99;295.31
7869-1;Battle for Geonosis;25.12.2010;11.12.2012;39.99;270.56
7877-1;Naboo Starfighter;19.07.2011;28.12.2012;49.99;127.24
7879-1;Hoth Echo Base;21.07.2011;02.12.2013;99.99;190.51
7913-1;Clone Trooper Battle Pack;25.12.2010;03.10.2012;14.99;94.98
7914-1;Mandalorian Battle Pack;25.12.2010;28.10.2012;14.99;57.20
7915-1;Imperial V-wing Starfighter;25.12.2010;05.10.2012;26.99;58.16
7929-1;The Battle of Naboo;25.12.2010;24.10.2012;29.99;87.60
7930-1;Bounty Hunter Assault Gunship;25.12.2010;24.11.2012;49.99;150.24
7931-1;T-6 Jedi Shuttle;25.12.2010;30.10.2012;69.99;260.82
7956-1;Ewok Attack;19.07.2011;12.11.2012;29.99;63.91
7957-1;Sith Nightspeeder;19.07.2011;30.10.2012;29.99;114.39
7959-1;Geonosian Starfighter;19.07.2011;06.12.2012;39.99;131.65
7961-1;Darth Maul's Sith Infiltrator;19.07.2011;22.10.2012;69.99;144.67
7962-1;Anakin Skywalker and Sebulba's Podracers;19.07.2011;24.11.2012;99.99;194.10
7964-1;Republic Frigate;19.07.2011;01.11.2012;129.99;572.00
7965-1;Millennium Falcon;19.07.2011;01.12.2014;149.99;207.86
10218-1;Pet Shop;12.05.2011;26.11.2016;149.99;259.78
20019-1;Slave I;01.01.2011;01.02.2011;0.00;17.85
20020-1;BrickMaster Ninjago;01.01.2011;01.01.2013;0.00;13.20
20021-1;Bounty Hunter Assault Gunship;01.01.2011;01.01.2013;0.00;21.12
21000-2;Willis Tower;04.06.2011;04.12.2013;19.99;130.81
21007-1;Rockefeller Center;18.11.2010;01.12.2013;34.99;126.54
21008-1;Burj Khalifa;04.06.2011;12.12.2013;24.99;110.86
21009-1;Farnsworth House;06.04.2011;30.04.2014;59.99;276.11
21010-1;Robie House;08.09.2011;14.12.2013;199.99;616.18
21011-1;Brandenburg Gate;08.09.2011;04.12.2015;34.99;104.90
30023-1;Lighthouse;01.10.2011;31.10.2011;0.00;17.54
30024-1;Truck;11.10.2011;11.10.2011;0.00;4.50
30025-1;Clown Fish;01.10.2011;01.10.2013;3.51;9.73
30026-1;Panda;01.10.2011;01.10.2013;0.00;9.02
30027-1;Reindeer;01.12.2011;01.12.2013;0.00;13.37
30051-1;Mini X-wing;01.05.2011;01.05.2013;3.07;13.18
30052-1;AAT;01.09.2011;01.09.2013;3.51;19.26
30053-1;Republic Attack Cruiser;08.10.2011;08.10.2013;3.51;8.62
30054-1;AT-ST;15.05.2015;15.05.2017;0.00;9.47
30055-1;Vulture Droid;01.09.2011;03.12.2011;3.07;6.93
30080-1;Ninja Glider;17.05.2011;17.05.2013;3.05;12.28
30081-1;Skeleton Chopper;01.04.2011;01.04.2013;0.00;10.70
